identifier,entity
ASSISTANT PRINTING OFFICER,ASSISTANT PRINTING OFFICER
ASSISTANT PRIVATE SECRETARY,ASSISTANT PRIVATE SECRETARY
ASSISTANT PRODUCER,ASSISTANT PRODUCER
ASSISTANT PRODUCTION ENGINEER,ASSISTANT PRODUCTION ENGINEER
ASSISTANT PRODUCTION OFFICER,ASSISTANT PRODUCTION OFFICER
ASSISTANT PROFESSOR,ASSISTANT PROFESSOR
ASSISTANT PROGRAM MANAGER,ASSISTANT PROGRAM MANAGER
ASSISTANT PROGRAMME OFFICER,ASSISTANT PROGRAMME OFFICER
ASSISTANT PROGRAMMER,ASSISTANT PROGRAMMER
ASSISTANT PROJECT OFFICER,ASSISTANT PROJECT OFFICER
ASSISTANT PROSECUTION OFFICER,ASSISTANT PROSECUTION OFFICER
ASSISTANT PROTOCOL OFFICER,ASSISTANT PROTOCOL OFFICER
ASSISTANT PROVIDENT FUND COMMISSIONER,ASSISTANT PROVIDENT FUND COMMISSIONER
ASSISTANT PUBLIC HEALTH INSPECTOR,ASSISTANT PUBLIC HEALTH INSPECTOR
ASSISTANT PUBLIC PROSECUTOR,ASSISTANT PUBLIC PROSECUTOR
ASSISTANT PUBLIC RELATIONS OFFICER,ASSISTANT PUBLIC RELATIONS OFFICER
ASSISTANT PUBLICATION OFFICER,ASSISTANT PUBLICATION OFFICER
ASSISTANT PURCHASE OFFICER,ASSISTANT PURCHASE OFFICER
ASSISTANT QUALITY ASSURANCE OFFICER,ASSISTANT QUALITY ASSURANCE OFFICER
ASSISTANT RECORD KEEPER,ASSISTANT RECORD KEEPER
ASSISTANT RECTOR,ASSISTANT RECTOR
ASSISTANT REFERENCE OFFICER,ASSISTANT REFERENCE OFFICER
ASSISTANT REGIONAL TRANSPORT OFFICER,ASSISTANT REGIONAL TRANSPORT OFFICER
ASSISTANT REGISTRAR,ASSISTANT REGISTRAR
ASSISTANT REGISTRAR GENERAL,ASSISTANT REGISTRAR GENERAL
ASSISTANT RESEARCH OFFICER,ASSISTANT RESEARCH OFFICER
ASSISTANT RESEARCH OFFICER GRADE-I,ASSISTANT RESEARCH OFFICER GRADE-I
ASSISTANT RESEARCH OFFICER GRADE-II,ASSISTANT RESEARCH OFFICER GRADE-II
ASSISTANT RESIDENT COMMISSIONER,ASSISTANT RESIDENT COMMISSIONER
ASSISTANT RESIDENT REPRESENTATIVE,ASSISTANT RESIDENT REPRESENTATIVE
ASSISTANT RIDING INSTRUCTOR,ASSISTANT RIDING INSTRUCTOR
ASSISTANT SANITARY INSPECTOR,ASSISTANT SANITARY INSPECTOR
ASSISTANT SECRETARY,ASSISTANT SECRETARY
ASSISTANT SECRETARY GENERAL,ASSISTANT SECRETARY GENERAL
ASSISTANT SECTION OFFICER,ASSISTANT SECTION OFFICER
ASSISTANT SECURITY COMMISSIONER,ASSISTANT SECURITY COMMISSIONER
ASSISTANT SECURITY OFFICER,ASSISTANT SECURITY OFFICER
ASSISTANT SEROLOGIST,ASSISTANT SEROLOGIST
ASSISTANT SIGNAL & TELECOM ENGINEER,ASSISTANT SIGNAL & TELECOM ENGINEER
ASSISTANT SIGNAL & TELECOMMUNICATION ENGINEER,ASSISTANT SIGNAL & TELECOMMUNICATION ENGINEER
ASSISTANT STATE PROJECT MANAGER,ASSISTANT STATE PROJECT MANAGER
ASSISTANT STATISTICAL OFFICER,ASSISTANT STATISTICAL OFFICER
ASSISTANT SUB INSPECTOR,ASSISTANT SUB INSPECTOR
ASSISTANT SUB-DIVISIONAL COLLECTOR,ASSISTANT SUB-DIVISIONAL COLLECTOR
ASSISTANT SUPERINTENDENT,ASSISTANT SUPERINTENDENT
ASSISTANT SUPERINTENDENT OF LAND RECORDS,ASSISTANT SUPERINTENDENT OF LAND RECORDS
ASSISTANT SUPERINTENDENT OF POLICE,ASSISTANT SUPERINTENDENT OF POLICE
ASSISTANT SURVEYOR,ASSISTANT SURVEYOR
ASSISTANT SYSTEM ANALYST,ASSISTANT SYSTEM ANALYST
ASSISTANT TEACHER,ASSISTANT TEACHER
ASSISTANT TECHNICAL ADVISER,ASSISTANT TECHNICAL ADVISER
ASSISTANT TECHNICAL OFFICER,ASSISTANT TECHNICAL OFFICER
ASSISTANT TRACK SUPPLY OFFICER,ASSISTANT TRACK SUPPLY OFFICER
ASSISTANT TRAFFIC COSTING OFFICER,ASSISTANT TRAFFIC COSTING OFFICER
ASSISTANT TRAFFIC MANAGER,ASSISTANT TRAFFIC MANAGER
ASSISTANT TRAFFIC MANAGER GRADE I,ASSISTANT TRAFFIC MANAGER GRADE I
ASSISTANT TRANSPORT COMMISSIONER,ASSISTANT TRANSPORT COMMISSIONER
ASSISTANT TRANSPORTATION MANAGER,ASSISTANT TRANSPORTATION MANAGER
ASSISTANT VIGILANCE OFFICER,ASSISTANT VIGILANCE OFFICER
ASSISTANT VOCATIONAL GUIDANCE OFFICER,ASSISTANT VOCATIONAL GUIDANCE OFFICER
ASSISTANT WELFARE COMMISSIONER,ASSISTANT WELFARE COMMISSIONER
ASSISTANT WELFARE OFFICER GRADE II,ASSISTANT WELFARE OFFICER GRADE II
ASSISTANT WIRELESS ADVISER,ASSISTANT WIRELESS ADVISER
ASSISTANT WORKS MANAGER,ASSISTANT WORKS MANAGER
ASSISTANT WORKSHOP ACCOUNTS OFFICER,ASSISTANT WORKSHOP ACCOUNTS OFFICER
ASSISTANT WORKSHOP ELECTRICAL ENGINEER,ASSISTANT WORKSHOP ELECTRICAL ENGINEER
ASSISTANT WORKSHOP MANAGER,ASSISTANT WORKSHOP MANAGER
ASSITANT WELFARE OFFICER,ASSITANT WELFARE OFFICER
ASSOCIATE,ASSOCIATE
ASSOCIATE CHARTERED ACCOUNTANT,ASSOCIATE CHARTERED ACCOUNTANT
ASSOCIATE DIRECTOR,ASSOCIATE DIRECTOR
ASSOCIATE FELLOW,ASSOCIATE FELLOW
ASSOCIATE PRODUCER,ASSOCIATE PRODUCER
ASSOCIATE PROFESSOR,ASSOCIATE PROFESSOR
ATTACHED CIRCLE OFFICER,ATTACHED CIRCLE OFFICER
ATTACHED OFFICER,ATTACHED OFFICER
ATTENDANT,ATTENDANT
ATTENDANT GRADE II,ATTENDANT GRADE II
ATTENDANT GRADE III,ATTENDANT GRADE III
AUDIENCE RESEARCH OFFICER,AUDIENCE RESEARCH OFFICER
AUDIT OFFICER,AUDIT OFFICER
AUDITOR,AUDITOR
AUDITOR GENERAL,AUDITOR GENERAL
AUDITOR GENERAL OF INDIA,AUDITOR GENERAL OF INDIA
AUTHORISED OFFICER,AUTHORISED OFFICER
AUXILIARY NURSE,AUXILIARY NURSE
AVIATOR,AVIATOR
AWAITING FURTHER ORDERS FROM GAD,AWAITING FURTHER ORDERS FROM GAD
AWAITING ORDERS OF ADJUSTMENT,AWAITING ORDERS OF ADJUSTMENT
BARRACK STORE OFFICER,BARRACK STORE OFFICER
BARRACKS AND STORES GRADE I,BARRACKS AND STORES GRADE I
BEARER,BEARER
BEARER GRADE II,BEARER GRADE II
BELDAR,BELDAR
BERTHING MASTER,BERTHING MASTER
BHISTI,BHISTI
BINDER,BINDER
BINDER GRADE I,BINDER GRADE I
BINDER GRADE II,BINDER GRADE II
BIO CHEMIST,BIO CHEMIST
BLOCK DEVELOPMENT OFFICER,BLOCK DEVELOPMENT OFFICER
BLOCK EDUCATION OFFICER,BLOCK EDUCATION OFFICER
BRANCH MANAGER,BRANCH MANAGER
BRANCH OFFICER,BRANCH OFFICER
BROADCAST ENGINEER,BROADCAST ENGINEER
CABINET MINISTER,CABINET MINISTER
CABINET SECRETARY,CABINET SECRETARY
CADRE TRANSFER,CADRE TRANSFER
CAMERAMAN,CAMERAMAN
CAMERAMAN GRADE-I,CAMERAMAN GRADE-I
CAMERAMAN GRADE-II,CAMERAMAN GRADE-II
CAMERAMAN GRADE-III,CAMERAMAN GRADE-III
CAMERAPERSON,CAMERAPERSON
CAMPAIGN OFFICER,CAMPAIGN OFFICER
CANE COMMISSIONER,CANE COMMISSIONER
CANTEEN ATTENDANT,CANTEEN ATTENDANT
CAPACITY BUILDING AND TRAINING OFFICER,CAPACITY BUILDING AND TRAINING OFFICER
CAPACITY DEVELOPMENT ADVISER,CAPACITY DEVELOPMENT ADVISER
CARETAKER,CARETAKER
CARPENTER,CARPENTER
CARTOGRAPHER,CARTOGRAPHER
CARTOGRAPHIC ASSISTANT,CARTOGRAPHIC ASSISTANT
CASHIER,CASHIER
CASUAL LABOUR,CASUAL LABOUR
CATERING OFFICER,CATERING OFFICER
CENSUS COMMISSIONER,CENSUS COMMISSIONER
CENTRAL PROVIDENT FUND COMMISSIONER,CENTRAL PROVIDENT FUND COMMISSIONER
CENTRAL VIGILANCE COMMISSIONER,CENTRAL VIGILANCE COMMISSIONER
CHAIRMAN,CHAIRMAN
CHAIRMAN AND MANAGING DIRECTOR,CHAIRMAN AND MANAGING DIRECTOR
CHAIRPERSON,CHAIRPERSON
CHAMBER ATTENDANT,CHAMBER ATTENDANT
CHANCELLOR,CHANCELLOR
CHANNEL ASSISTANT,CHANNEL ASSISTANT
CHARGEMAN,CHARGEMAN
CHARTERED ACCOUNTANT,CHARTERED ACCOUNTANT
CHARTERING OFFICER,CHARTERING OFFICER
CHEF,CHEF
CHEMIST,CHEMIST
CHIEF,CHIEF
CHIEF ACCOUNTS AND AUDIT OFFICER,CHIEF ACCOUNTS AND AUDIT OFFICER
CHIEF ACCOUNTS AND FINANCE OFFICER,CHIEF ACCOUNTS AND FINANCE OFFICER
CHIEF ACCOUNTS OFFICER,CHIEF ACCOUNTS OFFICER
CHIEF ADMINISTRATION OFFICER,CHIEF ADMINISTRATION OFFICER
CHIEF ADMINISTRATIVE OFFICER,CHIEF ADMINISTRATIVE OFFICER
CHIEF ADMINISTRATOR,CHIEF ADMINISTRATOR
CHIEF ADVISER COST,CHIEF ADVISER COST
CHIEF ARCHITECT,CHIEF ARCHITECT
CHIEF AREA MANAGER,CHIEF AREA MANAGER
CHIEF AUDITOR,CHIEF AUDITOR
CHIEF AVIATOR,CHIEF AVIATOR
CHIEF BLOCK MEDICAL OFFICER,CHIEF BLOCK MEDICAL OFFICER
CHIEF BODOLAND TERRITORIAL COUNCIL,CHIEF BODOLAND TERRITORIAL COUNCIL
CHIEF BRIDGE ENGINEER,CHIEF BRIDGE ENGINEER
CHIEF CAMERAMAN,CHIEF CAMERAMAN
CHIEF CASHIER,CHIEF CASHIER
CHIEF CLAIMS OFFICER,CHIEF CLAIMS OFFICER
CHIEF COMMERCIAL MANAGER,CHIEF COMMERCIAL MANAGER
CHIEF COMMISSIONER,CHIEF COMMISSIONER
CHIEF COMMISSIONER OF INCOME TAX,CHIEF COMMISSIONER OF INCOME TAX
CHIEF COMMUNICATION ENGINEER,CHIEF COMMUNICATION ENGINEER
CHIEF CONSERVATOR OF FORESTS,CHIEF CONSERVATOR OF FORESTS
CHIEF CONSTRUCTION ENGINEER,CHIEF CONSTRUCTION ENGINEER
CHIEF CONTROLLER,CHIEF CONTROLLER
CHIEF CONTROLLER OF ACCOUNTS,CHIEF CONTROLLER OF ACCOUNTS
CHIEF COORDINATOR,CHIEF COORDINATOR
CHIEF DENTAL OFFICER,CHIEF DENTAL OFFICER
CHIEF DENTAL SURGEON,CHIEF DENTAL SURGEON
CHIEF DEPOT OFFICER,CHIEF DEPOT OFFICER
CHIEF DEVELOPMENT COMMISSIONER,CHIEF DEVELOPMENT COMMISSIONER
CHIEF DEVELOPMENT OFFICER,CHIEF DEVELOPMENT OFFICER
CHIEF DIRECTOR,CHIEF DIRECTOR
CHIEF DISTRICT OFFICER,CHIEF DISTRICT OFFICER
CHIEF DRAUGHTSMAN,CHIEF DRAUGHTSMAN
CHIEF ECONOMIC ADVISER,CHIEF ECONOMIC ADVISER
CHIEF EDITOR,CHIEF EDITOR
CHIEF ELECTION COMMISSIONER,CHIEF ELECTION COMMISSIONER
CHIEF ELECTION OFFICER,CHIEF ELECTION OFFICER
CHIEF ELECTORAL OFFICER,CHIEF ELECTORAL OFFICER
CHIEF ELECTRICAL DISTRIBUTION ENGINEER,CHIEF ELECTRICAL DISTRIBUTION ENGINEER
CHIEF ELECTRICAL ENGINEER,CHIEF ELECTRICAL ENGINEER
CHIEF ELECTRICAL GENERAL ENGINEER,CHIEF ELECTRICAL GENERAL ENGINEER
CHIEF ELECTRICAL LOCO ENGINEER,CHIEF ELECTRICAL LOCO ENGINEER
CHIEF ELECTRICAL SERVICE ENGINEER,CHIEF ELECTRICAL SERVICE ENGINEER
CHIEF ELECTRICAL TRACTION ENGINEER,CHIEF ELECTRICAL TRACTION ENGINEER
CHIEF ENFORCEMENT OFFICER,CHIEF ENFORCEMENT OFFICER
CHIEF ENGINEER,CHIEF ENGINEER
CHIEF ENGINEER LEVEL-II,CHIEF ENGINEER LEVEL-II
CHIEF ESTABLISHMENT OFFICER,CHIEF ESTABLISHMENT OFFICER
CHIEF ESTIMATOR,CHIEF ESTIMATOR
CHIEF EXECUTIVE AUTHORITY,CHIEF EXECUTIVE AUTHORITY
CHIEF EXECUTIVE DIRECTOR,CHIEF EXECUTIVE DIRECTOR
CHIEF EXECUTIVE ENGINEER,CHIEF EXECUTIVE ENGINEER
CHIEF EXECUTIVE MEMBER,CHIEF EXECUTIVE MEMBER
CHIEF EXECUTIVE OFFICER,CHIEF EXECUTIVE OFFICER
CHIEF EYE SURGEON,CHIEF EYE SURGEON
CHIEF FINANCE COMMISSIONER,CHIEF FINANCE COMMISSIONER
CHIEF FINANCE OFFICER,CHIEF FINANCE OFFICER
CHIEF FINANCIAL ACCOUNT OFFICER,CHIEF FINANCIAL ACCOUNT OFFICER
CHIEF FINANCIAL CONTROLLER,CHIEF FINANCIAL CONTROLLER
CHIEF FIRE ASSISTANT SAFETY POLLUTION CONTROL OFFICER,CHIEF FIRE ASSISTANT SAFETY POLLUTION CONTROL OFFICER
CHIEF FIRE OFFICER,CHIEF FIRE OFFICER
CHIEF FOREST STATISTICIAN,CHIEF FOREST STATISTICIAN
CHIEF FRIEGHT TRANSPORTATION MANAGER,CHIEF FRIEGHT TRANSPORTATION MANAGER
CHIEF GENERAL ENGINEER,CHIEF GENERAL ENGINEER
CHIEF GENERAL MANAGER,CHIEF GENERAL MANAGER
CHIEF HEALTH DIRECTOR,CHIEF HEALTH DIRECTOR
CHIEF HYDROGRAPHER,CHIEF HYDROGRAPHER
CHIEF IN CHARGE,CHIEF IN CHARGE
CHIEF INFORMATION COMMISSIONER,CHIEF INFORMATION COMMISSIONER
CHIEF INQUIRY COMMISSIONER,CHIEF INQUIRY COMMISSIONER
CHIEF INSPECTOR,CHIEF INSPECTOR
CHIEF INTELLIGENCE OFFICER,CHIEF INTELLIGENCE OFFICER
CHIEF INTERNAL AUDITOR,CHIEF INTERNAL AUDITOR
CHIEF JUSTICE,CHIEF JUSTICE
CHIEF LABOUR COMMISSIONER,CHIEF LABOUR COMMISSIONER
CHIEF LAW OFFICER,CHIEF LAW OFFICER
CHIEF LIAISON OFFICER,CHIEF LIAISON OFFICER
CHIEF LIBRARIAN,CHIEF LIBRARIAN
CHIEF MANAGEMENT SERVICES OFFICER,CHIEF MANAGEMENT SERVICES OFFICER
CHIEF MANAGER,CHIEF MANAGER
CHIEF MANAGING DIRECTOR,CHIEF MANAGING DIRECTOR
CHIEF MATERIAL INSPECTOR,CHIEF MATERIAL INSPECTOR
CHIEF MATERIALS MANAGER,CHIEF MATERIALS MANAGER
CHIEF MECHANICAL ENGINEER,CHIEF MECHANICAL ENGINEER
CHIEF MEDIA,CHIEF MEDIA
CHIEF MEDICAL AND HEALTH OFFICER,CHIEF MEDICAL AND HEALTH OFFICER
CHIEF MEDICAL OFFICER,CHIEF MEDICAL OFFICER
CHIEF MEDICAL SUPERINTENDENT,CHIEF MEDICAL SUPERINTENDENT
CHIEF MINISTER,CHIEF MINISTER
CHIEF MOTIVE POWER ENGINEER,CHIEF MOTIVE POWER ENGINEER
CHIEF OF SECTION BASIC EDUCATION,CHIEF OF SECTION BASIC EDUCATION
CHIEF OF STAFF,CHIEF OF STAFF
CHIEF OFFICER,CHIEF OFFICER
CHIEF OFFICER FLOTILLA,CHIEF OFFICER FLOTILLA
CHIEF OPERATING OFFICER,CHIEF OPERATING OFFICER
CHIEF OPERATIONS MANAGER,CHIEF OPERATIONS MANAGER
CHIEF PAEDIATRIC,CHIEF PAEDIATRIC
CHIEF PASSENGER TRANSPORTATION MANAGER,CHIEF PASSENGER TRANSPORTATION MANAGER
CHIEF PASSENGER TRANSPOTATION MANAGER,CHIEF PASSENGER TRANSPOTATION MANAGER
CHIEF PERSONNEL OFFICER,CHIEF PERSONNEL OFFICER
CHIEF PHARMACIST,CHIEF PHARMACIST
CHIEF PHOTOGRAPHER,CHIEF PHOTOGRAPHER
CHIEF PHYSICIAN,CHIEF PHYSICIAN
CHIEF PLANNING AND DEVELOPMENT OFFICER,CHIEF PLANNING AND DEVELOPMENT OFFICER
CHIEF POST MASTER,CHIEF POST MASTER
CHIEF POST MASTER GENERAL,CHIEF POST MASTER GENERAL
CHIEF PRINCIPAL SECRETARY,CHIEF PRINCIPAL SECRETARY
CHIEF PROCTOR,CHIEF PROCTOR
CHIEF PRODUCER,CHIEF PRODUCER
CHIEF PROGRAMMER,CHIEF PROGRAMMER
CHIEF PROJECT MANAGER,CHIEF PROJECT MANAGER
CHIEF PROJECT OFFICER,CHIEF PROJECT OFFICER
CHIEF PROTOCOL OFFICER,CHIEF PROTOCOL OFFICER
CHIEF PUBLIC RELATION OFFICER,CHIEF PUBLIC RELATION OFFICER
CHIEF QUALITY ASSURANCE OFFICER,CHIEF QUALITY ASSURANCE OFFICER
CHIEF RADIOLOGIST,CHIEF RADIOLOGIST
CHIEF RATIONING OFFICER,CHIEF RATIONING OFFICER
CHIEF RECORDIST,CHIEF RECORDIST
CHIEF RECOVERY CLUSTER,CHIEF RECOVERY CLUSTER
CHIEF RESIDENT COMMISIONER,CHIEF RESIDENT COMMISIONER
CHIEF ROLLING STOCK ENGINEER,CHIEF ROLLING STOCK ENGINEER
CHIEF RONEO OPERATOR,CHIEF RONEO OPERATOR
CHIEF SCIENTIFIC OFFICER,CHIEF SCIENTIFIC OFFICER
CHIEF SECRETARY,CHIEF SECRETARY
CHIEF SECURITY OFFICER,CHIEF SECURITY OFFICER
CHIEF SIGNAL & TELECOM ENGINEER,CHIEF SIGNAL & TELECOM ENGINEER
CHIEF SIGNAL & TELECOMMUNICATION ENGINEER,CHIEF SIGNAL & TELECOMMUNICATION ENGINEER
CHIEF SIGNAL ENGINEER,CHIEF SIGNAL ENGINEER
CHIEF SPECIALIST,CHIEF SPECIALIST
CHIEF STAFF SURGEON,CHIEF STAFF SURGEON
CHIEF STATISTICAL OFFICER,CHIEF STATISTICAL OFFICER
CHIEF SUPERINTENDENT,CHIEF SUPERINTENDENT
CHIEF SUPERINTENDENT FIRE SERVICE,CHIEF SUPERINTENDENT FIRE SERVICE
CHIEF SUPERVISOR,CHIEF SUPERVISOR
CHIEF TECHNICAL ADVISER,CHIEF TECHNICAL ADVISER
CHIEF TECHNICAL ASSISTANT,CHIEF TECHNICAL ASSISTANT
CHIEF TECHNICAL OFFICER,CHIEF TECHNICAL OFFICER
CHIEF TICKETING INSPECTOR,CHIEF TICKETING INSPECTOR
CHIEF TRACK ENGINEER,CHIEF TRACK ENGINEER
CHIEF TRACK MANAGER,CHIEF TRACK MANAGER
CHIEF TRAFFIC MANAGER,CHIEF TRAFFIC MANAGER
CHIEF TRANSPORTATION MANAGER,CHIEF TRANSPORTATION MANAGER
CHIEF TRANSPORTATION PLANNING MANAGER,CHIEF TRANSPORTATION PLANNING MANAGER
CHIEF VETERINARY OFFICER,CHIEF VETERINARY OFFICER
CHIEF VIGILANCE COMMISSIONER,CHIEF VIGILANCE COMMISSIONER
CHIEF VIGILANCE OFFICER,CHIEF VIGILANCE OFFICER
CHIEF VISIONARY OFFICER,CHIEF VISIONARY OFFICER
CHIEF WORKS MANAGER,CHIEF WORKS MANAGER
CHIEF WORKSHOP ENGINEER,CHIEF WORKSHOP ENGINEER
CHIEF WORKSHOP MANAGER,CHIEF WORKSHOP MANAGER
CHILD PSYCHOLOGIST,CHILD PSYCHOLOGIST
CHILD SPECIALIST,CHILD SPECIALIST
CHOWKIDAR,CHOWKIDAR
CINEMA OPERATOR,CINEMA OPERATOR
CIRCLE OFFICER,CIRCLE OFFICER
CITY SUPERINTENDENT OF POLICE,CITY SUPERINTENDENT OF POLICE
CITY SURVEY OFFICER,CITY SURVEY OFFICER
CIVIL AFFAIRS OFFICER,CIVIL AFFAIRS OFFICER
CIVIL DEFENCE COMMISSIONER,CIVIL DEFENCE COMMISSIONER
CIVIL DEFENCE OFFICER,CIVIL DEFENCE OFFICER
CIVIL SURGEON CUM CHIEF SUPERITENDENT,CIVIL SURGEON CUM CHIEF SUPERITENDENT
CIVILIAN MOTOR DRIVER GRADE I,CIVILIAN MOTOR DRIVER GRADE I
CIVILIAN MOTOR DRIVER GRADE II,CIVILIAN MOTOR DRIVER GRADE II
CIVILIAN MOTOR DRIVER ORDINARY GRADE,CIVILIAN MOTOR DRIVER ORDINARY GRADE
CIVILIAN MOTOR DRIVER SPECIAL GRADE,CIVILIAN MOTOR DRIVER SPECIAL GRADE
CLEANER,CLEANER
CLEANER A,CLEANER A
CLEANER B,CLEANER B
CLERK,CLERK
CLERK COUPON,CLERK COUPON
CLERK-CUM-TYPIST,CLERK-CUM-TYPIST
CLINICAL PHYSIOLOGIST,CLINICAL PHYSIOLOGIST
COACH,COACH
COBBLER,COBBLER
COLLABORATOR,COLLABORATOR
COLLECTOR,COLLECTOR
COMMANDANT,COMMANDANT
COMMANDANT GENERAL,COMMANDANT GENERAL
COMMANDER WORKS ENGINEER,COMMANDER WORKS ENGINEER
COMMANDING OFFICER,COMMANDING OFFICER
COMMERCIAL ARTIST,COMMERCIAL ARTIST
COMMERCIAL ASSISTANT,COMMERCIAL ASSISTANT
COMMERCIAL TAX OFFICER,COMMERCIAL TAX OFFICER
COMMISSIONER,COMMISSIONER
COMMISSIONER AND SECRETARY,COMMISSIONER AND SECRETARY
COMMISSIONER OF INCOME TAX,COMMISSIONER OF INCOME TAX
COMMISSIONER OF POLICE,COMMISSIONER OF POLICE
COMMITTEE ASSISTANT,COMMITTEE ASSISTANT
COMMITTEE OFFICER,COMMITTEE OFFICER
COMMODORE  WORKS OFFICER,COMMODORE  WORKS OFFICER
COMMUNICATION OFFICER,COMMUNICATION OFFICER
COMPANY PROSECUTOR,COMPANY PROSECUTOR
COMPANY SECRETARY,COMPANY SECRETARY
COMPETENT AUTHORITY,COMPETENT AUTHORITY
COMPILER,COMPILER
COMPOUNDER,COMPOUNDER
COMPTROLLER,COMPTROLLER
COMPTROLLER AND AUDITOR GENERAL OF INDIA,COMPTROLLER AND AUDITOR GENERAL OF INDIA
COMPUTER ASSISTANT,COMPUTER ASSISTANT
COMPUTER ATTENDANT,COMPUTER ATTENDANT
COMPUTER OPERATOR,COMPUTER OPERATOR
COMPUTER STATISTICAL,COMPUTER STATISTICAL
CONFIDENTIAL ASSISTANT,CONFIDENTIAL ASSISTANT
CONSERVATOR,CONSERVATOR
CONSERVATOR OF FORESTS,CONSERVATOR OF FORESTS
CONSTABLE,CONSTABLE
CONSULATE,CONSULATE
CONSULATE GENERAL,CONSULATE GENERAL
CONSULTANT,CONSULTANT
CONTRACT OFFICER,CONTRACT OFFICER
CONTROL OF CERTIFICATE AUTHORITY,CONTROL OF CERTIFICATE AUTHORITY
CONTROLLER,CONTROLLER
CONTROLLER GENERAL,CONTROLLER GENERAL
CONTROLLER GENERAL OF ACCOUNTS,CONTROLLER GENERAL OF ACCOUNTS
CONTROLLER GENERAL OF DEFENCE ACCOUNTS,CONTROLLER GENERAL OF DEFENCE ACCOUNTS
CONTROLLER OF ACCOUNTS,CONTROLLER OF ACCOUNTS
CONTROLLER OF ADMINISTRATION,CONTROLLER OF ADMINISTRATION
CONTROLLER OF CERTIFYING AUTHORITIES,CONTROLLER OF CERTIFYING AUTHORITIES
CONTROLLER OF COMMUNICATION ACCOUNTS,CONTROLLER OF COMMUNICATION ACCOUNTS
CONTROLLER OF DEFENCE ACCOUNTS,CONTROLLER OF DEFENCE ACCOUNTS
CONTROLLER OF EXAMINATIONS,CONTROLLER OF EXAMINATIONS
CONTROLLER OF FINANCE,CONTROLLER OF FINANCE
CONTROLLER OF FINANCE AND ACCOUNTS,CONTROLLER OF FINANCE AND ACCOUNTS
CONTROLLER OF PROPERTIES,CONTROLLER OF PROPERTIES
CONTROLLER OF RATIONING,CONTROLLER OF RATIONING
CONTROLLER OF STORES,CONTROLLER OF STORES
COOK,COOK
CO-OPERATIVE INSPECTOR,CO-OPERATIVE INSPECTOR
COORDINATION AND INFORMATION MANAGEMENT OFFICER,COORDINATION AND INFORMATION MANAGEMENT OFFICER
COORDINATOR,COORDINATOR
COORDINATOR GRADE IV,COORDINATOR GRADE IV
COORDINATOR GRADE V,COORDINATOR GRADE V
COPY EDITOR,COPY EDITOR
COPY HOLDER,COPY HOLDER
COPYIST,COPYIST
CORRESPONDENT,CORRESPONDENT
COUNCIL SECRETARY,COUNCIL SECRETARY
COUNSELOR,COUNSELOR
COUNTRY PROGRAMME FACILITATOR,COUNTRY PROGRAMME FACILITATOR
COURT MASTER,COURT MASTER
CRIME ASSISTANT,CRIME ASSISTANT
CROP SURVEY SUPERVISOR,CROP SURVEY SUPERVISOR
CURATOR,CURATOR
CUSTODIAN,CUSTODIAN
DAFTRY,DAFTRY
DAIRY DEVELOPMENT COMMISSIONER,DAIRY DEVELOPMENT COMMISSIONER
DAIRY OFFICER,DAIRY OFFICER
DATA ANALYST,DATA ANALYST
DATA ENTRY OPERATOR,DATA ENTRY OPERATOR
DATA MANAGER,DATA MANAGER
DATA PROCESSING ASSISTANT,DATA PROCESSING ASSISTANT
DATA PROCESSING ASSISTANT-I,DATA PROCESSING ASSISTANT-I
DATA PROCESSING ASSISTANT-II,DATA PROCESSING ASSISTANT-II
DATA PROCESSING ASSISTANT-III,DATA PROCESSING ASSISTANT-III
DATA PROCESSING OFFICER,DATA PROCESSING OFFICER
DEAN,DEAN
DEFENCE ESTATES OFFICER,DEFENCE ESTATES OFFICER
DEFENCE SECRETARY,DEFENCE SECRETARY
DENTAL DOCTOR,DENTAL DOCTOR
DENTAL HEALTH OFFICER,DENTAL HEALTH OFFICER
DENTAL HYGIENIST,DENTAL HYGIENIST
DENTAL OFFICER,DENTAL OFFICER
DENTAL SPECIALIST,DENTAL SPECIALIST
DENTAL SURGEON,DENTAL SURGEON
DENTAL TECHNICIAN,DENTAL TECHNICIAN
DENTIST,DENTIST
DEPARTMENTAL ENQUIRY COMMISSIONER,DEPARTMENTAL ENQUIRY COMMISSIONER
DEPUTY ACCOUNTANT GENERAL,DEPUTY ACCOUNTANT GENERAL
DEPUTY ADMINISTRATIVE OFFICER,DEPUTY ADMINISTRATIVE OFFICER
DEPUTY ADMINISTRATOR,DEPUTY ADMINISTRATOR
DEPUTY ADVISER,DEPUTY ADVISER
DEPUTY ADVISOR,DEPUTY ADVISOR
DEPUTY ADVOCATE,DEPUTY ADVOCATE
DEPUTY AIRPORT HEALTH OFFICER,DEPUTY AIRPORT HEALTH OFFICER
DEPUTY ARCHITECT,DEPUTY ARCHITECT
DEPUTY ASSISTANT DIRECTOR GENERAL,DEPUTY ASSISTANT DIRECTOR GENERAL
DEPUTY ASSISTANT INSPECTOR GENERAL OF POLICE,DEPUTY ASSISTANT INSPECTOR GENERAL OF POLICE
DEPUTY CHAIRMAN,DEPUTY CHAIRMAN
DEPUTY CHIEF,DEPUTY CHIEF
DEPUTY CHIEF  CONTROLLER,DEPUTY CHIEF  CONTROLLER
